true_label,original_sent,noisy_label
0,"Advertising and circulation revenues grew by 3.4 % and by 0.4 % , respectively .",0
2,"Poyry is a global consulting and engineering firm focusing on the energy , forest industry and infrastructure & environment sectors .",2
1,"However , the company saw its net profit for the third quarter down to EUR 1.4 million from EUR 1.5 million for the corresponding period of 2009 .",1
0,"In the third quarter , net sales increased by 12 % year-on-year to EUR159 .5 m , or by 6 % at comparable currency rates growth .",0
0,"In the first nine months of 2010 , the company 's net loss narrowed to EUR415 ,000 from EUR7 .4 m for the corresponding period of 2009 .",0
1,"According to CEO Matti Perkonoja of the parent company HKScan , the company 's performance in the first quarter of 2010 has remained clearly below the level of the corresponding period in 2009 .",1
2,He will report to CapMan Plc 's CEO Heikki Westerlund .,2
2,"`` Method and System for Controlling a Hard Disk Drive Using a Multimediacard Physical Interface '' was invented by Marko Ahvenainen Ruutana , Finland .",2
0,"Both operating profit and net sales for the six-month period increased , respectively from EUR18 .1 m and EUR127 .6 m , as compared to the corresponding period in 2006 .",0
0,"In the second quarter of 2010 , the group 's pretax loss narrowed to EUR 400,000 from EUR 600,000 .",0
2,The value of the order is about EUR 30mn .,2
1,- Net sales for the period are expected to fall well below that of last year and the result after non-recurring items is expected to be in the red .,1
2,The total value of the project is valued at SEK 30bn ( EUR 2.83 bn USD 3.81 bn ) .,2
1,23 April 2010 - Finnish construction and engineering company Outotec Oyj HEL : OTE1V said today it slipped to a net loss of EUR7 .3 m in the first quarter of 2010 from a net profit of EUR12 .5 m in the corresponding period last year .,1
2,Total value of the contract is about EUR 10mn .,2
2,The Swedish subsidiary holds 1.0 % net smelter return `` NSR '' royalties over two advanced copper projects in northern Sweden - the Viscaria and Adak Projects - being developed by Avalon Minerals Ltd. ASX : AVI .,2
2,"The RME from Telcontar enables the handset to calculate the best route and includes support for user-defined routes , feature navigability and multi-modal routing such as via foot and ferry .",2
2,"The company 's transportation business is conducted through Florida Rock & Tank Lines , which is a Southeastern transportation company concentrating in the hauling by motor carrier of liquid and dry bulk commodities .",2
2,Ahlstrom 's share is quoted on the NASDAQ OMX Helsinki .,2
2,Storengy is the GDF SUEZ company that is dedicated to the underground storage of natural gas .,2
0,"Metsaliitto , however , narrowed its net loss for the second quarter of 2007 to 5.0 mln euro $ 6.9 mln from 61 mln euro $ 83.7 mln a year ago .",0
2,Cargotec will also move Hallberg-Ivarsson 's service and installation business under the same roof with its service center for Kalmar and MacGregor solutions in Gothenburg .,2
0,"`` BasWare 's product sales grew strongly in the financial period , by 24 percent .",0
0,"Re-use back into PET bottles has also steadily increased and the rate of use in strapping tape has picked up again after a dip in 2005 , Petcore said previously .",2
0,Ponsse projects the forest machine markets to improve more than expected in 2010 from the previous year .,0
0,"Profitability ( EBIT % ) was 13.9 % , compared to 13.1 % in the previous-year period .",2
2,The bridge will be 1.2 km long and is located between Anasmotet by the road E20 and the new traffic junction in Marieholm by the road E45 .,2
2,The financial details of the acquisition were not disclosed .,2
2,"Established in 1987 , the SRV Group is a private Finnish construction concern with operations in Finland , the Baltic countries and Russia .",2
1,Net profit fell by almost half to +é 5.5 million from +é 9.4 million at the end of 2007 .,1
2,"Initial estimated total value of the contract was 250 000 Euros , excluding VAT .",2
2,"The cost of the deal could range from 70 million to 90 million euros depending on the financial results of the two companies in 2008 , the statement says .",2
2,Its market share is 6 percent according to AC Nielsen 's 2008 data .,2
2,"These include software development for internet and mobile telephone content , communications , value-added software , financial services , security applications , systems integration and electronics .",2
2,"PCS Digital Guatemala has been using Tecnomen 's prepaid system in Telgua fixed networks as well as code division multiple access , or CDMA , and global system for mobile communication , or GSM , since 2003 .",2
2,"China Unicom , NYSE : CHU , HKSE : 0762 , and SHSE : 600050 , the second largest mobile carrier in the country .",2
0,Operating profit excluding restructuring costs grew to EUR 44.5 million from EUR 31.7 million while operating profit including restructuring costs showed even larger growth to EUR 38.5 million from EUR 7.4 million .,0
2,"Companies evaluated in the report include Aladdin , CA , F-Secure , Kaspersky , Marshal , McAfee , Microsoft , Panda , Proofpoint , Sophos , Symantec , Trend Micro , Tumbleweed , and Websense .",2
2,"Since the registration of the shares subscribed in a directed share issue , the new number of Panostaja shares and voting rights is 41,733,110 .",2
2,"The mall is part of the Baltic Pearl development project in the city of St Petersburg , where Baltic Pearl CJSC , a subsidiary of Shanghai Foreign Joint Investment Company , is developing homes for 35,000 people .",2
2,"The company has decided to stop the operations of Ruukki Construction Division in Latvia and Lithuania , and concentrate the production and logistics in Parnu , Estonia in 2009 .",1
2,"Raute , headquartered in Nastola , Finland , is a technology company serving the wood products industry worldwide .",2
0,"Operating profit totalled EUR 7.0 mn , up from a loss of EUR 4.0 mn in the second quarter of 2009 .",0
2,"Yara Suomi Ltd also provides nitrogen chemicals and technical nitrates to various sectors of industry , as well as products used in environmental protection .",2
2,Why not give your bedroom a cool makeover for summer .,0
2,"Harold W. Young is an independent broker working closely with several retailers including Ahold USA , Market Basket , CVS , BJ 's Wholesale Club , Hannaford and Cumberland Farms .",2
2,"Erkki Jarvinen , President of Rautakirja and the head of the Sanoma Trade division , will leave his current tasks in spring 2009 for a similar position outside the Sanoma Group .",2
2,The agreement includes application maintenance and support services .,2
2,The terms and conditions of the Stock Option Scheme 2008 are available on the Company 's internet pages www.sanoma.com .,2
2,"As part of the agreement , Aspocomp will also give Meadville a 10 pct slice of a subsidiary operating in Oulu , Finland .",2
1,The operating margin came down to 2.4 % from 5.7 % .,1
0,"narrows to EUR2 .8 m 9-mo '09 29 October 2009 - Finnish software and hardware developer Elektrobit Oyj HEL : EBG1V , or EB , said today that its net loss narrowed to EUR2 .8 m for the first nine months of 2009 from EUR35 .6 m for the same period a year ago .",0
2,The company website is www.ahlstrom.com .,2
2,"Vehvilainen , who is currently the chief operating officer at Nokia Siemens Networks , will join Finnair on 5 January 2010 and take over as CEO effective 1 February 2010 .",2
1,"Finnish electronics contract manufacturer Scanfil reports net sales of EUR 241.2 mn in 2006 , down from EUR 321.6 mn in 2005 .",1
0,Incap Contract Manufacturing Services Private Limited has inked agreements with six new customers in India .,0
0,"Suominen Corporation estimates that the cost-cutting program that started in autumn 2005 , higher sales prices , and expected growth in volume of Wet Wipes , will make the company 's operations more profitable .",0
2,"Cohen & Steers , Inc. : 5 534 626 shares representing 4.985 % of the share capital and voting rights .",2
1,"Operating profit margin was 8.3 % , compared to 11.8 % a year earlier .",1
2,Finnish Stockmann Group 's mail order unit Hobby Hall has launched a trial marketing campaign in Russia .,2
2,The combined capital of these funds is expected to be EUR 100mn-150mn .,2
2,"In 2008 , AVC Systemhaus had net sales of EUR 10 million USD 7.1 m .",2
2,One of the headboxes will be equipped with a modern consistency control system to ensure cross machine profile of the plasterboard .,2
2,Nordstjernan has used its option to buy another 22.4 % stake of Salcomp 's shares and votes .,2
2,It was decided that the auditors are reimbursed according to invoice .,2
2,"Finnish Kemira Group 's CEO , Lasse Kurkilahti , says the Group 's structural reorganisation will continue for at least a year .",2
2,Name of Company in which holdings have been acquired : Citycon Oyj 2 .,2
2,"After the sale , Savcor Group Ltd will comprise Savcor ART , a corporate function and an investment in Cencorp Corporation .",2
0,"The major breweries increased their domestic beer sales by 4.5 per cent last year , to 256.88 million litres from 245.92 million litres in 2004 .",2
2,EUR 220 million of the transaction consideration was paid in the form of four-year interest-bearing vendor notes .,2
2,"The broad-based WIG index ended Thursday 's session 0.1 pct up at 65,003.34 pts , while the blue-chip WIG20 was 1.13 down at 3,687.15 pts .",2
2,"The company serves customers in various industries , including process and resources , industrial machinery , architecture , building , construction , electrical , transportation , electronics , chemical , petrochemical , energy , and information technology , as well as catering and households .",2
2,Satama and Trainers ' House will remain as names and independent brands of the business areas .,2
2,"Of the company 's net sales , 38 % was acquired in Finland , 21 % in other European countries , 40 % in Asia , and 1 % in the US .",2
2,"The total scope of the project is about 38,000 square metres and it is valued at a total of around EUR75m .",2
0,"Operating profit totaled EUR 5.5 mn , up from EUR -0.7 mn .",0
2,The commission said the hydrogen peroxide and PBS market was worth about 470 million euros in 2000 .,2
2,"With this acquisition the wireless modem unit and its approximately 1,100 employees were transferred to Renesas Electronics Corporation .",2
1,"HELSINKI Thomson Financial - Shares closed little changed , with Cargotec and Huhtamaki dropping sharply on disappointing second-quarter reports .",1
0,"Net sales rose by 25.5 % year-on-year to EUR59 .6 m , as the number of chargers delivered went up by 41 % to 65.9 million pieces .",0
2,Financial details were n't disclosed .,2
2,"In accordance with the terms and conditions of Alma Media 's 2006 option program , the share subscription price for the 2006A option rights was EUR 4.88 per share and the book countervalue EUR 0.60 per share .",2
0,"Both operating profit and net sales for the six-month period increased , respectively from EUR0 .4 m and EUR3 .2 m , as compared to the corresponding period in 2005 .",0
0,"Kalnapilio-Tauro Grupe ( Kalnapilis-Tauras Group ) , which is owned by Denmark 's Royal Unibrew , raised its market share to 25.18 percent from 23.74 percent , as beer sales for the seven months jumped by 14.5 percent to 40.5 million liters .",0
0,"`` This is a significant milestone for Benefon , helping us to secure critical USP 's for our personal navigation product roadmap for 2007 and beyond , '' commented Simon Button , Chief Technology Officer at Benefon .",0
2,"F-Secure Internet Security 2010 is a security service for surfing the web , online banking and shopping , e-mail , and other online activities .",2
1,Cramo slipped to a pretax loss of EUR 6.7 million from a pretax profit of EUR 58.9 million .,1
2,Its 168 asset management experts manage assets worth over EUR 35 billion .,2
2,Subject-matter of the invention furthermore is the use of the cyclone for separating partly molten particles . '',2
2,The company says the measures are no longer needed .,2
0,"Both operating profit and turnover for the nine-month period increased , respectively from EUR2 .4 m and EUR43 .8 m , as compared to the corresponding period a year ago .",0
2,Work on the assignment has already started and is due for completion in spring 2011 .,2
1,"Net cash flow from operating activities was a negative EUR 3.1 mn , compared to EUR 23.3 mn in the corresponding period in 2009 .",1
2,The value of this kind of order amounts usually between Euro 2 and 3 million .,2
0,Return on equity stood at 18.3 % compared to 15.4 % in the third quarter of 2005 .,2
0,"Finnish high technology provider Vaahto Group reports net sales of EUR 41.8 mn in the accounting period September 2007 - February 2008 , an increase of 11.2 % from a year earlier .",0
2,"The company has a continuous need for alloys such as nickel , ferro-chrome , molybdenum and manganese in its production , said Talvivaara .",2
0,"London 's leading shares today jumped almost 100 points , or 1.7 % , as the market opened .",0
1,"The airline estimated that the cancellation of its flights due to the closure of European airspace , and the process of recommencing traffic , have caused a the company a loss of EUR20m , including the costs of stranded passengers ' accommodation .",1
2,The company also equipped the sculptural complex Rabochy i Kolkhoznitsa A Worker and a Collective Farmer in Moscow with snow melting system .,2
2,"The Board established a Remuneration Committee with following members : - Sari Baldauf Chairman - Tapio Hintikka - Heikki Westerlund In addition , the Board decided to appoint a Nomination Committee at a later stage .",2
2,"Okmetic closed its plant in Espoo in early 2004 , and all production lines from the site were moved to Okmetic 's plants in Vantaa , Finland and Texas , USA .",2
2,Also the development of online businesses will continue .,0
2,The company is studying the feasibility of focusing most of its processed meat production in the Vantaa facilities and the processing of fresh meat in the Forssa facilities .,2
2,`` This could be us .,2
2,Terms were not disclosed .,2
0,Finnish office supplies and computer accessories dealer Beltton-Group Plc said its net profit rose to 1.3 mln euro ( $ 1.7 mln ) in 2006 from 1.13 mln euro ( $ 1.5 mln ) in 2005 .,0
1,"Making matters more difficult , the company said it has been grappling with higher oil and gas prices , which have pushed up the cost of energy , raw materials and transportation .",1
0,Return on investment was 16.6 % compared to 15.8 % in 2004 .,0
0,Finnish metal products company Componenta Oyj net profit rose to 26.1 mln euro ( $ 35.9 mln ) for the first quarter of 2007 from 5.3 mln euro ( $ 7.3 mln ) for the same period of 2006 .,0
0,HELSINKI AFX - KCI Konecranes said it has won an order for four hot metal ladle cranes from Indian steel producer Bhushan Steel and Strips Ltd. .,0
1,"Operating profit , excluding non-recurring items , totalled EUR 2.2 mn , down from EUR 2.7 mn in the corresponding period in 2008 .",1
1,Pharmaceuticals group Orion Corp reported a fall in its third-quarter earnings that were hit by larger expenditures on R&D and marketing .,1
2,The issuer is solely responsible for the content of this announcement .,2
2,The size of a cider bottle will remain unchanged .,2
2,"Thus the group 's balance sheet will have about EUR 25.8 million of goodwill , the company added .",2
2,"BAVARIA Industriekapital AG 's 2006 revenues were EUR 333 million , with an EBITDA of EUR 51 million .",2
2,"`` We have come out with a decision which is based on our preliminary economic , operational and environmental findings , '' Karvinen said .",2
0,Marimekko Group 's full-year net sales are estimated to increase by about 10 % .,0
2,The value of the deal has not been disclosed .,2
2,"The facility will be used to refinance Citycon 's existing credit facility , the company said .",2
2,"In addition to the Tulikivi Corporation , he is also currently a member of the Board of the following companies : Altia Corporation , J+ñrvi-Suomen Portti Osuuskunta , Osuuskunta KPY , Profile Vehicles Oy and Voimatel Oy .",2
0,"Adjusted for changes in the Group structure , the Division 's net sales increased by 1.7 % .",0
2,"The purchase price will be paid in cash upon the closure of the transaction , scheduled for April 1 , 2009 .",2
0,"Talentum expects that the net sales of its core business will increase in 2008 , compared to 2007 .",0
2,"OTHER  North-Rhine Westphalia - Is to issue a benchmark , 5 year fixed rate deal in Euros .",2
1,"ADP News - Apr 22 , 2009 - Finnish business information systems developer Solteq Oyj HEL : STQ1V said today its net loss widened to EUR 189,000 USD 245,000 for the first quarter of 2009 from EUR 10,000 for the same peri",1
2,Vacon controls a further 5 % of the company via investment fund Power Fund I. EUR 1.0 = USD 1.397,2
2,"The contract includes software licences , application maintenance and training .",2
0,Finnish construction group Lemmink+ñinen has been awarded two road building contracts by the Lithuanian transport administration .,2
0,"The earnings per share for the quarter came in at 0.25 eur , up from the 0.20 eur of the same quarter a year earlier .",0
0,"Net interest income totaled EUR 15.9 mn , compared to EUR 15.6 mn a year earlier .",2
0,"Markets had been expecting a poor performance , and the company 's stock was up 6 percent at  x20ac 23.89 US$ 33.84 in early afternoon trading in Helsinki .",0
0,The acquisition will have an immediate positive impact on Aspocomp 's financial result .,0
2,The bank 's leasing arm Nordea Liising ended the year with a profit of 4.4 million euros .,0
1,"Group EBIT for the first half was EUR13 .6 m US$ 17.8 m , falling short of the EUR22 .5 m it posted for the same period of 2009 .",1
0,Operating profit rose from EUR 1.94 mn to EUR 2.45 mn .,0
0,"Systeemitiimi 's sales and project resources will also be strengthened , director Paul Skogberg said .",2
0,"Previously , the company anticipated its operating profit to improve over the same period .",0
0,Return on capital employed rose by 4.8 percentage points to 19.6 % .,0
1,"Finnish textiles and clothing group Marimekko Oyj posted a net profit of 7.99 mln euro $ 10.4 mln for 2006 , compared to 8.4 mln euro $ 10.9 mln for 2005 .",2
1,"The period 's sales dropped to EUR 30.6 million from EUR 38.3 million , according to the interim report , released today .",1
2,The reductions will be concluded by autumn 2010 .,2
2,"3 January 2011 - Scandinavian lenders Sampo Bank ( HEL : SAMAS ) , Pohjola Bank ( HEL : POH1S ) and Svenska Handelsbanken ( STO : SHB A ) have provided a EUR160m ( USD213m ) line of credit to Lemminkainen Oyj ( HEL : LEM1S ) , the Finnish construction firm said on Friday .",2
2,"Established in 1989 , CapMan manages Nordic buyout , mezzanine , technology , life science and real estate funds with approximately EURO 3 billion $ 4 billion in total capital .",2
2,The order also includes start-up and commissioning services .,2
1,Pretax profit decreased to EUR 33.8 mn from EUR 40.8 mn in the fourth quarter of 2005 .,1
2,Related links : Flexiblebaseloadoperation TheWartsila32generating set Gasconversions This is the shorter of two versions of this press release .,2
2,The closing of such transaction took place today .,2
0,Last year 's net sales rose to EUR 68.3 million from EUR 62.2 million .,0
0,Unit costs for flight operations fell by 6.4 percent .,2
1,"Managing Director 's comments : `` Net sales for the first quarter were notably lower than a year before , especially in Finland , Russia and the Baltic countries .",1
2,"The other seats would go to Edgar Edmonds , an American with experience of the clothing and retail industry , and Christian Fischer , an Austrian with experience in the winter sports goods business .",2
2,According to an  posted by the World Intellectual Property Organization : `` The present invention relates to hydrocarbons and particularly to the manufacture of hydrocarbon components suitable as aviation fuels or jet fuels and as blending stocks for aviation fuels .,2
2,SKF 6 April 2010 - Alandsbanken has given a `` buy '' recommendation on Swedish industrial company SKF AB ( STO : SKF B ) with a share price target of SEK150 .,2
2,The proposal by the Board of Directors on the issuance of option rights will otherwise correspond to the proposal by the Board of Directors in the Notice to the General Meeting .,2
2,"In a release on Oct. 28 , Peab said the two businesses will continue to be conducted under the brands Cliffton and Stockholm Entreprenad , both part of the Peab Group .",2
2,The previous offer was 3.4 % of voting rights and 12.3 % of capital .,2
0,HELSINKI AFX - Outokumpu said its technology unit has won a 28 mln eur contract from Bosnia-Herzegovina 's Aluminij dd Mostar to upgrade an anode plant .,0
2,`` We could be there .,2
2,"Price talk is in the mid-market swaps plus 105 bps area and the leads are Barclays , BNPP , UBS and CBA .",2
2,The trade is in accordance with the agreement announced on 26 March 2008 .,2
1,The Elcoteq group recently announced that the last three months of the previous year brought to it a major loss of more than half a billion kroons ( EUR 32 mln ) for the fifth quarter running .,1
2,"Honkarakenne also decided yesterday to sell 88,500 of its B-series shares to key staff members for EUR 2.90 per share .",2
2,"CapMan Plc Press Release 31 March 2008 Jukka Ruuska , President of the OMX Nordic Exchanges and the Stockholm Stock Exchange , will transfer to CapMan effective no later than September 2008 .",2
0,"Net sales surged by 18.5 % to EUR167 .8 m. Teleste said that EUR20 .4 m , or 12.2 % , of the sales came from the acquisitions made in 2009 .",0
2,Combined net sales in 2006 were $ 27 million and EBITDA was $ 13.7 million .,2
1,"Jan. 6 -- Ford is struggling in the face of slowing truck and SUV sales and a surfeit of up-to-date , gotta-have cars .",1
2,"The equipment is designated to Bollore Africa Logistics terminal Societe d'Exploitation du Terminal de Vridi SETV in Abidjan , Ivory Coast and the delivery is scheduled to start in March 2010 .",2
1,"JP Morgan expects that Scala will lower Nobel Biocare 's growth forecast for 2007 from the current guidance of 23-25 pct , as well as the operating margin target from the current 34-35 pct .",1
2,"The Annual General Meeting approved that the yearly remuneration for the members of the Board of Directors shall remain at EUR 40.000 for the Chairman of the Board , EUR 30.000 for the Deputy Chairman of the Board and EUR 20.000 for other members of the Board .",2
0,Operating profit of the Asian plants grew markedly .,0
2,We offer our customers solutions based on renewable raw materials .,0
2,A meeting of Glisten shareholders to vote on the bid will be held on 12 March .,2
0,"In Sweden , operating profit for the period under review totaled EUR 3.4 mn , up 30.8 % from the corresponding period in 2005 .",0
2,"N +1 Group will pay EUR16 .5 m of the transaction price upon closing , and the remaining sum in 2012 .",2
2,"Its product portfolio comprises harvesters , forwarders , harvester heads , as well as cranes and loaders .",2
0,"Operating profit was EUR 0.6 mn , up from a loss of EUR 19mn a year earlier .",0
1,Glaston 's net profit for the third quarter of 2007 dropped to 2.4 mln euro ( $ 3.5 mln ) from 3.5 mln euro ( $ 5.1 mln ) for the corresponding period of 2006 .,1
2,"In addition to its stake in MegaFon , Telecominvest currently owns 100 % of shares in Web Plus and St. Petersburg Payphones , 51 % in telecom equipment producer Peter-Servis and a number of other minor assets .",2
1,"Operating profit totalled EUR 30.2 mn , down from EUR 43.8 mn a year earlier .",1
0,"Neste oil 's board proposed 1.00 eur dividend for the full-year 2007 , compared with 0.90 eur a year ago .",2
2,Neste Shipping is the most likely to remain Finnish as the oil sector and its transports are significant for emergency supply .,2
1,"Publishing Sweden 's operating loss was EUR 1.1 mn in Q1 of 2009 , compared to a profit of EUR 0.6 mn a year ago .",1
1,"Operating loss before non-recurring items was EUR 0.9 mn , compared to a profit of EUR 11.5 mn in 2008 .",1
2,"In his current position , Manty has worked since 1996 .",2
2,The Oulu plant employs approximately 120 people .,2
2,"Unbelievably , the company that makes them - Fiskars Corporation - was formed in 1649 when a Dutch merchant named Peter Thorwoste was given a charter to establish a blast furnace and forging operation in the small Finnish village of Fiskars .",2
0,"Cash flow from operations totalled EUR 2.71 mn , compared to a negative EUR 0.83 mn in the corresponding period in 2008 .",2
2,"In total , more than 3000 surveillance cameras will be handled and managed according to a variety of needs , the company said .",2
2,"The maximum grade of the veneer yield is calculated , based on the dimensions and grades of the veneer products , as well as by iterating the places of the peeling axes and simulating the peeling process .",2
2,"The maximum obligated total trades per day is ISK 400,000,000 market value .",2
2,"The segments through which the company operates are Frozen Food business , Seafoods , Vegetable Oil business , Grain Trading and Other business operations .",2
2,"Neste Oil will publish its third quarter 2008 results on Friday , 24 October 2008 at approximately 9 am ( EET ) .",2
2,The company reiterates its outlook for 2009 .,2
2,"The building will house , for example , Respecta Oy 's Jyvaskyla premises , as well as other companies to be announced later , says Samuel Koivisto , Director of Technopolis operations in Jyvaskyla .",2
2,The CVs of the proposed members are available for viewing from 12 March 2008 onwards on the Internet at www.sampo.com/ir .,2
2,"On preliminary estimate , the hotel will operate under the brand Novotel .",2
2,"The firm 's UK head office is in Rugby Road , Lutterworth .",2
2,SHARE REPURCHASE 11.01.2008 In the Helsinki Stock Exchange On behalf of Sampo plc Danske Bank A-S Helsinki Branch,2
2,The company reported net sales of 302 mln euro $ 441.6 mln and an operating margin of 16 pct in 2006 .,2
2,Okmetic revised its 2010 financial outlook based on its order book .,2
2,"The Point Village , designed by Scott Tallon Walker , will include a shopping center , office premises , a hotel and a cinema .",2
2,"The new apartment block is going up very close to the city center , explained Chairman of the Board of AS YIT Ehitus Priit Sauk .",2
0,"However , the proportion of the paid standing orders grew in 2009 .",2
0,"The company 's net profit rose 11.4 % on the year to 82.2 million euros in 2005 on sales of 686.5 million euros , 13.8 % up on the year , the company said earlier .",0
2,"Tecnotree 's convergent charging solution includes functionality for prepaid and post-paid billing , charging and rating of voice calls , video calls and raw data traffic for both mobile and fixed networks .",2
0,Finnish KCI Konecranes has been awarded an order for four hot metal ladle cranes by Indian steel producer Bhushan Steel & Strips to be delivered in 2007 .,0
2,The deal was worth about EUR 1.2 mn .,2
2,"Incap , headquartered in Oulu , Finland , is a electronics contract manufacturer with some 750 employees in Finland , Estonia and India .",2
2,HK Ruokatalo 's target is to know the consumers .,2
2,"Incap Corporation Stock Exchange Announcement 29 April 2010 at 1 p.m. INVITATION TO A NEWS CONFERENCE ON INCAP 'S INTERIM REPORT Q1-2010 Incap will publish its interim report for January-March 2010 on Wednesday , 5 May 2010 .",2
2,"The company designs , manufactures and markets advanced composite products for industrial applications and consumer goods such as cross-country , alpine and Nordic Walking poles , floorball sticks and antenna radomes .",2
2,"Operators only need to learn how to use one device for multiple levels of applications , including voice-directed operations .",2
2,"Following the demerger , the vice president of the group 's pharmaceutical trade in Finland , Jukka Niemi , will be appointed managing director of Oriola in addition to his current responsibilities .",2
2,"The composite body is coated with a hard coating layer produced by thermal spraying , and the coating is ground . ''",2
1,The Department Store Division 's sales fell by 8.6 % to EUR 140.2 mn .,1
1,Consolidated pretax profit decreased by 69.2 % to EUR 41.0 mn from EUR 133.1 mn in 2007 .,1
2,"The order also covers design services , hardware , software licences , as well as maintenance services over six years .",2
2,Construction is scheduled to start in April-June 2007 and to be completed in early 2008 .,2
2,Bertrand Sciard has been the vice chairman of the board of directors of Aldata Solution since April 2007 .,2
2,Stock Exchange Release 10/3/2011 12:00 Sanoma has published its Annual Report and Financial Statements for 2010 and its first Corporate Responsibility Report .,2
0,Operating profit improved by 16.7 % to EUR 7.7 mn .,0
2,"The repo rate will gradually reach 2 % at the end of 2010 , according to Nordea 's Economic Outlook .",2
0,Revenue grew 12 percent to (  x20ac ) 3.6 billion ( US$ 4.5 billion ) .,0
2,Kirsi Rantanen was previously development director for HK Ruokatalo 's poultry business .,2
2,Exel wants to serve its industrial customers with individual products .,0
2,"The train is expected to cross the Russian territory in 9 days , reaching the Vostochny port .",2
1,Operating profit for 2009 lower than outlook published earlier .,1
2,"The Hayward , Calif.-based target designs active , casual and dress footwear , as well as boots and sandals .",2
